"name","abd","abd_unit","lat","lng","state","county","comment"
"Mammuthus","","",18.616667,-97.900002,"Puebla","estimated from map","""one kilometer east of Road 455 that connects La Colorada and Tepexi de Rodriquez. On the southern bank of the Rio Axamilpa..."""
"Mammuthus","","",43.0,-118.0,"Idaho","based on political unit","SW side of Jackass Butte, near Grand View"
"Mammuthus","","",37.047699,-100.495201,"Kansas","stated in text","""SE1/4SE1/4 sec. 32, T. 34 S., R. 29 W., XI Ranch, Meade County"""
"Mammuthus columbi","","",40.200001,-98.099998,"Nebraska","based on political unit",""
"Mammuthus columbi","","",37.099998,-100.900002,"Kansas","based on political unit","1.5 mi E of Arkalon Station"
"Mammuthus columbi","","",36.799999,-100.5,"Oklahoma","based on political unit","4.5 mi N and 1 mi W of Gate"
"Mammuthus","","",43.799999,-99.199997,"South Dakota","based on political unit",""
"Mammuthus","","",32.900002,-117.099998,"California","based on political unit",""
"Mammuthus columbi","","",35.0,-101.900002,"Texas","based on political unit","Newton Harrell/Bill Howse Ranch, 8 km S and 18 km E of Canyon"
"Mammuthus","","",33.900002,-117.0,"California","based on political unit",""
"Mammuthus","","",33.900002,-117.0,"California","based on political unit",""
"Mammuthus","","",33.900002,-117.0,"California","based on political unit",""
"Mammuthus","","",33.900002,-117.0,"California","based on political unit",""
"Mammuthus","","",33.900002,-117.0,"California","based on political unit",""
"Mammuthus","","",33.900002,-117.0,"California","based on political unit",""
"Mammuthus","","",34.799999,-117.0,"California","based on political unit",""
"Mammuthus","37","specimens",34.799999,-117.0,"California","based on political unit","E of Yermo"
"Mammuthus hayi","","",21.799999,-102.300003,"Aguascalientes","based on nearby landmark","SE of Aguascalientes"
"Mammuthus","","",34.5,-100.099998,"Texas","based on political unit","15 km NW of Childress"
"Mammuthus","","",28.799168,-82.070274,"Florida","based on nearby landmark","Dixie Lime and Stone Corporation's Coleman II mine, near Coleman, Sumter County, Florida (SE 1/4, NW 1/4, Sec. 7, T 20 S, R 23 E"""
"Mammuthus columbi","","",37.200001,-100.300003,"Kansas","based on political unit",""
"Mammuthus","","",64.800003,-147.800003,"Alaska","based on political unit","Fairbanks<br>county assignment uncertain"
"Mammuthus","","",37.200001,-100.300003,"Kansas","based on political unit",""
"Mammuthus","","",36.700001,-99.900002,"Oklahoma","based on political unit","9 mi W of Buffalo"
"Mammuthus columbi","","",46.400002,-105.800003,"Montana","based on political unit","north of Miles City"
"Mammuthus","","",52.206112,-106.576942,"Saskatchewan","stated in text","""near the southeast corner of section 25, township 37, range 5, W. 3rd. Meridian. This is 3 miles north of Sutherland railway station and 6 miles northeast of the center of Saskatoon"" in ""a low, rounded hill rising about 15 feet above the surrounding prairie level"""
"Mammuthus columbi","","",34.0,-99.800003,"Texas","based on political unit",""
"Mammuthus columbi","","",31.700001,-114.5,"Sonora","based on nearby landmark","mouth of Colorado River"
"Mammuthus columbi","","",33.599998,-117.800003,"California","based on political unit","Ralph Clark Regional Park, Fullerton"
"Mammuthus","","",34.799999,-117.0,"California","based on political unit","Victorville"
"Mammuthus","","",37.056667,-120.195831,"California","stated in text","south of Chowchilla; 34 Miles north of Fresno"
"Mammuthus columbi","","",35.5,-106.199997,"New Mexico","based on political unit","1 mi SW of Galisteo"
"Mammuthus hayi","","",33.75,-99.5,"Texas","based on political unit",""
"Mammuthus hayi","","",43.0,-115.699997,"Idaho","based on political unit","2 mi SE of Glenns Ferry"
"Mammuthus","","",64.800003,-147.800003,"Alaska","based on political unit","Fairbanks<br>county assignment uncertain"
"Mammuthus columbi","","",42.700001,-102.5,"Nebraska","based on political unit",""
"Mammuthus columbi","","",38.299999,-97.599998,"Kansas","based on political unit",""
"Mammuthus columbi","","",48.799999,-110.0,"Montana","based on political unit","Havre"
"Mammuthus columbi","","",42.700001,-102.5,"Nebraska","based on political unit",""
"Mammuthus","","",40.599998,-98.5,"Nebraska","based on political unit",""
"Mammuthus","","",40.5,-98.099998,"Nebraska","based on political unit","junction of Highway 74 and S-18E"
"Mammuthus hayi","","",34.400002,-98.900002,"Oklahoma","based on political unit","1 mi N of Frederick"
"Mammuthus columbi","","",32.900002,-117.099998,"California","based on political unit",""
"Mammuthus columbi","","",37.599998,-122.0,"California","based on political unit",""
"Mammuthus columbi","","",38.700001,-98.099998,"Kansas","based on political unit",""
"Mammuthus hayi","","",32.0,-106.699997,"New Mexico","based on political unit","north of Las Cruces, Mesilla Basin"
"Mammuthus hayi","","",32.0,-106.699997,"New Mexico","based on political unit",""
"Mammuthus hayi","","",27.700001,-82.5,"Florida","stated in text","7 km SW of Ruskin"
"Mammuthus","","",27.700001,-82.5,"Florida","based on political unit",""
"Mammuthus","","",27.700001,-82.5,"Florida","based on political unit",""
"Mammuthus columbi","","",32.900002,-117.099998,"California","based on political unit","Borrego Badlands<br>county assignment uncertain"
"Mammuthus hayi","","",32.900002,-117.099998,"California","based on political unit","Borrego Badlands<br>county assignment uncertain"
"Mammuthus","","",34.5,-101.300003,"Texas","based on political unit",""
"Mammuthus columbi","","",34.5,-101.300003,"Texas","based on political unit",""
"Mammuthus columbi","","",50.099998,-110.699997,"Alberta","based on nearby landmark",""
"Mammuthus columbi","","",34.0,-99.800003,"Texas","based on political unit",""
"Mammuthus","","",40.799999,-124.199997,"California","based on political unit","near Eureka"
"Mammuthus","","",65.099998,-150.100006,"Alaska","based on political unit",""
"Mammuthus hayi","","",68.199997,-140.0,"Yukon","based on nearby landmark",""
"Mammuthus","","",68.199997,-140.0,"Yukon","based on nearby landmark",""
"Mammuthus","","",68.199997,-140.0,"Yukon","based on nearby landmark",""
"Mammuthus","","",68.199997,-140.0,"Yukon","based on nearby landmark",""
"Mammuthus columbi","","",27.799999,-82.800003,"Florida","based on political unit","1 km NE of Safety Harbor"
"Mammuthus","","",27.799999,-82.800003,"Florida","based on political unit",""
"Mammuthus columbi","","",33.900002,-117.0,"California","based on political unit",""
"Mammuthus hayi","","",33.900002,-117.0,"California","based on political unit",""
"Mammuthus hayi","","",27.9,-81.800003,"Florida","based on political unit",""
"Mammuthus hayi","","",26.9,-82.0,"Florida","based on political unit","Alligator Creek"
"Mammuthus","","",33.900002,-117.0,"California","based on political unit",""
"Mammuthus","","",29.1,-82.300003,"Florida","based on political unit","1.3 km SE of Reddick"
"Mammuthus","","",29.683332,-109.650002,"Sonora","stated in text","""along the Río Moctezume... between San Clemente de Terapa and El Llano, 13 km south of Moctezuma""; fossils are from ""approximately 20 sublocalities"""
"Mammuthus hayi","","",34.5,-101.300003,"Texas","based on political unit",""
"Mammuthus columbi","","",42.700001,-102.5,"Nebraska","based on political unit",""
"Mammuthus columbi","","",38.299999,-97.599998,"Kansas","based on political unit",""
"Mammuthus","","",33.5,-108.800003,"New Mexico","based on political unit",""
"Mammuthus","","",29.700001,-82.599998,"Florida","based on political unit",""
"Mammuthus columbi","1","specimens",33.900002,-117.0,"California","based on political unit",""
"Mammuthus columbi","","",36.099998,-117.900002,"California","based on political unit","W of Tecopa and Tecopa Hot Springs"
"Mammuthus columbi","","",33.700001,-101.900002,"Texas","based on political unit","Yellowhouse Canyon, 7.6 km NE of Slaton"
"Mammuthus columbi","","",34.0,-99.800003,"Texas","based on political unit",""
"Mammuthus columbi","","",35.799999,-110.099998,"Arizona","based on political unit","0.15 km N of Taylor, W of Arizona Highway 77"
"Mammuthus","","",36.0,-116.25,"California","estimated from map","W of Tecopa and Tecopa Hot Springs\nmultiple collections from ""a restricted area in the southeastern portion of the basin"" that is shown on a map (Whistler and Webb 2005)"
"Mammuthus","","",34.799999,-117.0,"California","based on political unit","Victorville"
"Mammuthus hayi","","",37.700001,-122.5,"California","based on political unit","near San Francisco"
"Mammuthus primigenius","","",47.200001,-111.0,"Montana","based on political unit","north of Fort Peck"
"Mammuthus hayi","","",35.099998,-106.800003,"New Mexico","based on political unit",""
"Mammuthus","","",35.099998,-106.800003,"New Mexico","based on political unit",""
"Mammuthus columbi","","",35.099998,-106.800003,"New Mexico","based on political unit",""
"Mammuthus","","",38.900002,-98.800003,"Kansas","based on political unit","Smoky Hill River"
"Mammuthus","","",42.0,-96.0,"Iowa","based on political unit",""
"Mammuthus","","",34.799999,-117.0,"California","based on political unit","Victorville"
"Mammuthus hayi","","",50.700001,-107.900002,"Saskatchewan","based on nearby landmark","coordinates provided by Harington 1978"
"Mammuthus columbi","","",35.0,-101.900002,"Texas","based on political unit","Newton Harrell/Bill Howse Ranch, 6.4 km S and 19 km E of Canyon"
"Mammuthus columbi","","",42.799999,-112.900002,"Idaho","based on political unit",""
"Mammuthus","","",50.900002,-110.199997,"Alberta","based on nearby landmark","Red Deer River"
"Mammuthus primigenius","","",56.5,-94.199997,"Manitoba","based on nearby landmark","Limestone River, Hudson Bay Lowland"
"Mammuthus","","",27.5,-82.5,"Florida","based on political unit",""
"Mammuthus columbi","","",27.5,-82.5,"Florida","based on political unit","Bradenton"
